,Title,Author,Goodreads Rating,Description
159,A+Time+To+Kill,John Grisham,4.05,"Before The Firm and The Pelican Brief made him a superstar, John Grisham wrote this riveting story of retribution and justice -- at last it's available in a Doubleday hardcover edition. In this searing courtroom drama, best-selling author John Grisham probes the savage depths of racial violence...as he delivers a compelling tale of uncertain justice in a small southern town...Clanton, Mississippi. The life of a ten-year-old girl is shattered by two drunken and remorseless young men. The mostly white town reacts with shock and horror at the inhuman crime. Until her black father acquires an assault rifle and takes matters into his hands.For ten days, as burning crosses and the crack of sniper fire spread through the streets of Clanton, the nation sits spellbound as young defense attorney Jake Brigance struggles to save his client's life...and then his own."
160,Hind's+Feet+On+High+Places,Hannah Hurnard,4.3,"With over 2 million copies sold, Hinds’ Feet on High Places remains Hannah Hurnard’s best known and most beloved book: a timeless allegory dramatizing the yearning of God’s children to be led to new heights of love, joy, and victory. In this moving tale, follow Much-Afraid on her spiritual journey as she overcomes many dangers and mounts at last to the High Places. There she gains a new name and is transformed by her union with the loving Shepherd. Included in this special edition (February 2009 release) is Hannah Hurnard’s own account of the circumstances that led her to write Hinds’ Feet, and a brief autobiography. Special edition also features a new cover design."
161,How+to+win+Any+Argument,Robert Mayer,0,"Ever have an argument? Wondered who won? Wondered if anyone won? How would you like to win any argument, and not have to worry about retribution, hurt feelings, or someone constantly throwing things back up in your face?.. You need this book if you answered ""YES!"" This book applies to any context (marital, work related, negotiations, or even a simple argument or disagreement with a stranger or someone you know). You will love this book, because it will teach you how to win any argument you might ever have! You don't have to fight and lose! If you find yourself in an argument or fighting with someone, then simply apply what you will learn in this book so you can come out on top...every time! What this book will do for you more than anything is ensure that people won't want to disagree with you, challenge you, or pick a fight with you! How awesome would that be? Think about it! Give it a go... Grab Your Copy Now!"
162,Katha+-+Prize+Stories,,4.14,"Stories that explore an exciting range of themes and situations from the fantastic to the quietly realistic, the enigmatic to the expected, the melodramatic to the humorous of the nineteen stories in this collection, two have been originally written in English and the rest are sensitive translations from twelve regional languages.The translated stories are from Asomiya, Bangla, English, Gujarati, Hindi, Kannada, Malayalam, Marathi, Oriya, Tamil, Telugu and Urdu."
163,Reader's+Digest,,3.96,"Great short stories have been called ""masterpieces in miniature,"" and here, carefully selected for your pleasure by the Editors of the The Reader's Digest, are more than seventy that are among the finest examples of the storyteller's art. Many stories are American and British, but the distinguished authors of sixteen other nations are also represented. The result is a rich variety of backgrounds and points of view--all brought vividly to life by that concern for the human condition only great writers can evoke."
164,The+Mists+Of+Avalon,Marion Zimmer Bradley,4.12,"Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come...."
165,Collection+Of+4+books,,4.46,"Harry Potter and the Philosopher's Stone 4 Books Bundle Collection By J.K. Rowling With Gift Journal includes titles in this collection :- Hufflepuff, Gryffindor, Ravenclaw, Slytherin. Description:- Celebrate 20 years of Harry Potter magic with four special editions of Harry Potter and the Philosopher's Stone. Gryffindor, Slytherin, Hufflepuff, Ravenclaw . Twenty years ago these magical words and many more flowed from a young writer's pen, an orphan called Harry Potter was freed from the cupboard under the stairs - and a global phenomenon started. Harry Potter and the Philosopher's Stone has been read and loved by every new generation since. To mark the 20th anniversary of first publication, Bloomsbury is publishing four House Editions of J.K. Rowling's modern classic. These stunning editions will each feature the individual house crest on the jacket and line illustrations exclusive to that house, by Kate Greenaway Medal winner Levi Pinfold. Exciting new extra content will include fact files and profiles of favourite characters, and each book will have sprayed edges in the house colours. Available for a limited period only, these highly collectable editions will be a must-have for all Harry Potter fans in 2017. Please note these are normal standard books supplied by publishers which are then bundled together for the purpose of saving postage."
166,In+High+Places,Arthur Hailey,4.3,"With over 2 million copies sold, Hinds’ Feet on High Places remains Hannah Hurnard’s best known and most beloved book: a timeless allegory dramatizing the yearning of God’s children to be led to new heights of love, joy, and victory. In this moving tale, follow Much-Afraid on her spiritual journey as she overcomes many dangers and mounts at last to the High Places. There she gains a new name and is transformed by her union with the loving Shepherd. Included in this special edition (February 2009 release) is Hannah Hurnard’s own account of the circumstances that led her to write Hinds’ Feet, and a brief autobiography. Special edition also features a new cover design."
167,Check+Your+Own+I.Q.,H.J.Eysenck,3.62,"In this sequel to ""Know Your Own IQ"", Eysenck responds to criticisms, providing five new tests of the standard type as a check. He also provides three specific tests which are designed to determine whether the reader shows more ability in verbal, numerical or visual-spatial terms."
168,"The+bachelor,The+baby+and+the+beauty",vicotria pade,3.88,"After a decade away, Hadley McKendrick came home to Northbridge, Montana, a hundred pounds lighter and much the wiser. For the sophisticated designer, working with Chase Mackey wouldn't be a problem—her high school crush was ancient history. But when Chase suddenly took custody of his orphaned baby nephew, Hadley stepped in to help the hapless bachelor—and close quarters quickly reignited old feelings.Chase wasn't sure which was the bigger surprise—discovering a child he never knew or hottie Hadley's head-to-toe transformation! All of a sudden he had a ready-made family on his hands. The biggest shock of all—the commitment-phobe would do anything to make this new arrangement last forever."
169,Imprisioned+by+a+vow,Mills and boon,3.69,"Signed, sealed…forever! Being sold into marriage by her stepfather is Leila's one chance to escape. But instead of freedom, Leila finds herself bound by deep passions ignited by her inscrutable new husband. Australian billionaire Joss Carmody knows the rules of this game—he'll shower his new wife with diamonds and in return he'll use her land to expand his business. That's all he ever wanted from this exchange, but he hadn't banked on the attraction Leila awakens.  Then the one night that was supposed to slake their desire, binds them beyond the signatures on their marriage contract…."
170,Dewdrops+at+dawn,Sahana Sankaran,2.92,"It was an uneasy attraction that ended in fireworks each time. Every encounter with Sukanya, seemed to bring out the worst in Sundar – but what was it about her that drew him so powerfully? An artist with a publishing house, Sukanya had to make her latest venture work. Unfortunately, the brooding, handsome Sundar Sriram held all the cards to her success.Will their uneasy association work?"
171,The+sheikh's+destiny,Olivia gates(Mills and boon),3.42,"With his war-torn kingdom in tatters, Sheikh Alim El-Kanar is injured, alone and believes he has no future. Until beautiful nurse Hana saves his life and gives him hope.Hana thought her duty would be over once Alim recovered, but then he asks her to pose as his wife! Hana knows it can only be for show--she can never truly be the sheikh's wife. But destiny has other ideas...."
172,The+rings+that+bind,Michelle smart(mills and boon),3.37,"On his terms only...The day Rosa agreed to wear Nicolai Baranski's ring she wasn't so foolish as to expect love. Yet nothing could have prepared her for the aching loneliness of her husband's constant indifference—an indifference that proved too much to bear. Nico is furious—no one turns their back on a Baranski. Rosa has some nerve if she thinks he will just let her walk away. He'll use every sensual trick at his disposal to bring her back, begging for more. And once he's got her where he wants her? He'll let her go. But only when he's ready!"
173,A+spanish+awakening,Kim lawerence(Mills and boon),3.4,"In the chaos of an airport strike, Madrid's most sought-after bachelor Emilio Rios stumbles across old flame Megan Armstrong. In the past, he bowed to duty and married the ""right"" woman—leaving the less sophisticated Megan on the sidelines.Staying away from Megan has been the hardest thing Emilio's ever done, but now that he's free he isn't going to waste a single minute! He's got twenty-four hours—plenty of time for a full seduction.…"
174,The+billionaire's+captive+bride,Emma Darcy(Mills and Boon),3.4,"HE WANTS HIS BABY, SO HE'LL MAKE HER HIS BRIDE! To teacher Erin Lavelle, handsome billionaire Peter Ramsey was like a fairy-tale prince. But after two amazing days their affair was over. Peter had thought Erin was different until he discovered her secret. Then seven months later he finds her pregnant. Now there's only one way to ensure his unborn child's security ... marriage. Erin's knight in shining armor has returned, this time demanding she be his bride!"
175,A+beauty+uncovered,Andrea Laurence(Mills and Boon),3.66,"A beastly boss is tamed in this Secrets of Eden book from Andrea Laurence…CEO Brody Eden is a loner. The brooding billionaire has secrets that he refuses to unveil to anyone …until he meets his new assistant, Samantha Davis. She's temptation personified, and she's sitting right outside his door. Samantha's never met a man as guarded and gorgeous as Brody. She doesn't want to fall for her boss, but there's something about Brody…. Beneath his gruff manner, Sam senses tenderness and an intense passion waiting to be unleashed. And she'll make it her mission to enter his lair …and his bed."
176,Temptation+on+his+terms,Robyn Grady(Mills & Boon),3.6,"The Nanny's Starring RoleAmid growing threats to their high-profile family, studio boss Dex Hunter takes custody of his little brother—and tries to put his routine as a Hollywood player on hold. Too bad his brother's new nanny, Shelby Scott, is so easy on the eyes! Soon Dex will do anything to keep Shelby by his side. But when it comes to men, Shelby made a pretty big mistake back home, one that she isn't about to repeat. Now Dex needs to prove he's ready to settle down if he wants to heat things up."
177,the+Desert+Sheikh's+Captive+Wife,Lynne Graham(Mills & Boon),3.57,"Captive in the sheikh's harem!Tilda was living to regret that once she'd had a short--lived romance with Rashad, the Crown Prince of Bakhar. Now, not only had he gained possession of her impoverished family's home, Rashad was also blackmailing her for the huge debt they owed him--and insisting she pay the price...ashis concubine!Tilda was appalled--but in no position to refuse. Soon she was the arrogant sheikh's captive, ready to be ravished in his faraway desert kingdom. But Rashad slipped up by publicly naming Tilda as his woman...and under the law of Bakhar this meant she and he were bound together forever...as husband and wife!"
178,Passion+becomes+you,Michelle reed(Mills and Boon),3.62,"He wanted nothing more than her love...From their first meeting, Jemma had known that forever wasn't in Leon Stephanades's vocabulary. She was inexperienced, but the passion between them was so powerful that she cast her doubts aside and agreed to Leon's demand of a no-strings affair. Soon Jemma was head over heels in love, and couldn't imagine that she'd ever be the one to end the idyll... Until she found that her love for Leon was to have a lasting price--and it meant having to let him go..."
179,Rebel+Baron,Shirl Henke,4.15,"An Older WomanTo survive the cutthroat world of Victorian high finance, wealthy widow Miranda Auburn hid her femininity behind a facade of cold calculation. Her only womanly emotions were reserved for her daughter, whose fondest wish was to marry a peer.A Younger ManBrandon Caruthers had hoped to put the lost cause of the Confederacy behind him when he traveled to London to become Baron Rushcroft. But the only way to salvage his impoverished estate was to marry an heiress.A Business ProposalThe transaction Miranda proposed seemed to suit all involved—a huge loan in exchange for making her daughter a baroness—until Brand found himself craving the mother instead. Even if it caused a private civil war, he vowed to take the right woman to his bed."
180,Roses+for+christmas,Betty Neels,3.97,"Eleanor remembered Fulk from her childhood, and how she had disliked him. Now Eleanor was grown up and a nurse, and suddenly Fulk, a consultant, was back in her life. He hadn't changed a bit, still dictorial and overbearing, which was a problem because in the circumstances she couldn't avoid him! It also shouldn't matter that he was engaged to pretty little Imogen -- but somehow, it did..."
181,The+pregnancy+proporsal,Helen Bianchin,3.3,"Tasha sangat bahagia saat mengetahui dirinya hamil. Tetapi memberitahu Jared North, sang miliarder Australia, bahwa dialah ayah bayinya adalah tugas paling berat yang pernah ia lakukan. Dua tahun mereka menjalin hubungan, tetapi pernikahan tidak pernah masuk dalam rencana...Tasha terpana ketika Jared melamarnya. Ia yakin pinangan itu cuma berdasarkan rasa tanggung jawab. Alih-alih menerima lamaran, ia malah memutuskan untuk menjauhi pria itu---membuktikan apakah mereka benar-benar saling mencintai. Ketika mendengar berita mengerikan tentang ledakan bom yang nyaris merenggut nyawa Jared, barulah Tasha menyadari arti kehadiran Jared dalam kehidupannya."
182,Reader's+Digest,-,3.96,"Great short stories have been called ""masterpieces in miniature,"" and here, carefully selected for your pleasure by the Editors of the The Reader's Digest, are more than seventy that are among the finest examples of the storyteller's art. Many stories are American and British, but the distinguished authors of sixteen other nations are also represented. The result is a rich variety of backgrounds and points of view--all brought vividly to life by that concern for the human condition only great writers can evoke."
183,Semester+economics,"Appannaih, Redddy and Shanti",0,This carefully developed new introductory text is designed for students in business and management who have to understand the fundamental concepts of economics in one semester.
186,Statistics(1+pu),Raj Mohan,4.34,"The Bear of Very Little Brain and his friends from the Hundred Acre Wood have delighted generations of readers since Winnie-the-Pooh was first published in 1926.Back by popular demand, the four full-color gift editions of the original Pooh classics are available again. These elegant books, larger in format than the classic editions, include all of Ernest H. Shepard's illustrations, each meticulously hand-painted in delicate watercolors.Here are the two great storybooks chronicling the adventures of Christopher Robin and all the inhabitants of the Hundred Acre Wood, as well as the two charming volumes of poems. Bright in color and true in spirit, these are books for giving--To Pooh fans of all ages."
193,Reading+and+interpreting+text(sem+1&+2),MCC,4.34,"No other book ever written, with the possible exception of the Bible, has so dramatically influenced the course of civilization as the Koran. Yet this important text remains little understood in the West. Since its first publication in 1955, Professor A.J. Arberry's translation has been the finest one available, its magnificently written verse making the Koran accessible to a Western audience. Professor Arberry has rendered the Koran into clear and lyrical English while carefully preserving the incomparable artistry of the Arabic original. ""The Koran Interpreted"" is universally recognized as not only the most authoritative translation but also the most beautiful one in the English language."
194,Texts+and+contexts,MCC,3.74,"This edition of Shakespeare's Romeo and Juliet reprints the Bevington edition of the play accompanied by six sets of thematically arranged primary documents and illustrations designed to fit many different approaches to Shakespeare's play and the early modern culture out of which the play emerges. The documents contextualize the social relationships among men in Shakespeare's time, violence in Elizabethan society, views of love and the Petrarchan paradigm, spiritual life, family in Elizabethan society, and ideas about astrology, medicine, and death."
195,Stay+Hungry+Stay+Foolis,Rashmi Bansal ,3.65,"The inspiring stories of 25 IIM Ahmedabad graduates who chose the rough road of entrepreneurship. They are diverse in age, in outlook and the industries they made a mark in. But they have one thing in common: they believed in the power of their dreams. This book seeks to inspire young graduates to look beyond placements and salaries. To believe in their dreams."
197,Statistics(2+pu),Raj mohan,4.36,"Winnie-the-Pooh, the Best Bear in All the World, has long been adored by readers young and old. In this beautiful full-color gift edition of ""The House at Pooh Corner, "" Ernest H. Shepard's classic illustrations have been painstakingly hand-colored. An exquisite volume and the perfect gift for any occasion, this book is as vivid and charming as the beloved characters from the Hundred Acre Wood."
199,Income+Tax,"Gaur, Rajeev puri",4.13,"Wouldn't you love to abolish the IRS ...Keep all the money in your paycheck ...Pay taxes on what you spend, not what you earn ...And eliminate all the fraud, hassle, and waste of our current system?Then the FairTax is for you. In the face of the outlandish American tax burden, talk-radio firebrand Neal Boortz and Congressman John Linder are leading the charge to phase out our current, unfair system and enact the FairTax Plan, replacing the federal income tax and withholding system with a simple 23 percent retail sales tax on new goods and services. This dramatic revision of the current system, which would eliminate the reviled IRS, has already caught fire in the American heartland, with more than six hundred thousand taxpayers signing on in support of the plan.As Boortz and Linder reveal in this first book on the FairTax, this radical but eminently sensible plan would end the annual national nightmare of filing income tax returns, while at the same time enlarging the federal tax base by collecting sales tax from every retail consumer in the country. The FairTax, they argue, would transform the fearsome bureaucracy of the IRS into a more transparent, accountable, and equitable tax collection system. Among other benefits, it will:Make America's tax code truly voluntary, without reducing revenueReplace today's indecipherable tax code with one simple sales taxProtect lower-income Americans by covering the tax on basic necessitiesEliminate billions of dollars in embedded taxes we don't even know we're payingBring offshore corporate dollars back into the U.S. economyEndorsed by scores of leading economists and supported by a huge and growing grassroots movement, the FairTax Plan could revolutionize the way America pays for itself. In this straight-talking book, Neal Boortz and John Linder show you how it would work—and how you can help make it happen."
200,Fondation+programme,Csi,0,"Excerpt from Le Grand S�minaire: Fondation, Statuts, Programmes, Directions Intellectuelles Et MoralesLes f�licitations de ceux qui avaient qualit� pour me juger, l'heureuse exp�rience de mes directions depuis plusieurs ann�es, me donnent l'assurance que j'ai indiqu� une bonne voie.C'est pour moi une grande satisfaction de n'avoir rien retrancher, rien � changer dans mes prescriptions.About the PublisherForgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.comThis book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
203,English+and+Business+communication,CSI,3.76,"English for Business Communication is a short course for people in or preparing for work who need to improve their English in these key areas: socialising, telephoning, presenting, taking part in meetings and negotiating. With its modular approach it is easy to fit into any teaching programme. As the title suggests, the focus is on developing speaking skills in the contexts of day-to-day dealings with customers, clients and suppliers of services or goods. Great emphasis is also placed on developing listening skills. Integrated writing tasks are included where appropriate and reading comes in the form of informative texts on business communication skills and typical business documents such as faxes and letters. The course is in colour and accompanied by a Teacher's Book and a set of two Audio Cassettes or Audio CDs."
205,Company+law,Csi,3.74,"In Romeo and Juliet, Shakespeare creates a world of violence and generational conflict in which two young people fall in love and die because of that love. The story is rather extraordinary in that the normal problems faced by young lovers are here so very large. It is not simply that the families of Romeo and Juliet disapprove of the lover's affection for each other; rather, the Montagues and the Capulets are on opposite sides in a blood feud and are trying to kill each other on the streets of Verona. Every time a member of one of the two families dies in the fight, his relatives demand the blood of his killer. Because of the feud, if Romeo is discovered with Juliet by her family, he will be killed. Once Romeo is banished, the only way that Juliet can avoid being married to someone else is to take a potion that apparently kills her, so that she is burried with the bodies of her slain relatives. In this violent, death-filled world, the movement of the story from love at first sight to the union of the lovers in death seems almost inevitable.What is so striking about this play is that despite its extraordinary setting (one perhaps reflecting Elizabethan attitudes about hot-blooded Italians), it has become the quintessential story of young love. Because most young lovers feel that they have to overcome giant obstacles in order to be together, because they feel that they would rather die than be kept apart, and especially because the language Shakespeare gives his young lovers is so exquisite, allowing them to say to each other just what we would all say to a lover if we only knew how, it is easy to respond to this play as if it were about all young lovers rather than about a particular couple in a very unusual world. (When the play was rewritten in the eighteen century as The History and Fall of Caius Marius, the violent setting became that of a particularly discordant period in classical Rome; when Leonard Berstein rewrote the play as West Side Story, he chose the violent world of New York street gangs.)"
208,The+Adventurous+Four+-+Shipwrecked!,Enid Blyton,3.93,"Andy 14 takes pals visiting WW2 NE Scotland for an overnighter on Little Island. Small wiry redhead Tom 12 has cheerful twin sisters 10, Zoe and Pippa, with ""thick golden plaits and deep blue eyes."" But a sudden storm shipwrecks their little sailboat on deserted islets - with a cave of food supplies, a cove of submarines, and a seaplane of foreigners. The resourceful gang cope with discovery and danger. Lively brisk sketches bring the wind, waves, cliffs, and struggling sailors to life. The first fast moving appealing escapade with resourceful brave Adventurous Four."
209,The+Rubadub+Mystery,Enid Blyton,3.97,"Barney, Roger Diane and Snubby love solving mysteries, with the help of Loony the spaniel and Miranda the monkey.Miss Pepper hopes that taking the children to stay by the sea at the village inn in Rubadub will give them all a quiet holiday - for a change! But all sorts of strange things are going on at the inn, and there are mysterious explosions at the submarine base nearby. Who is behind the happenings at the inn? The police are on the trail, but the children are determined to find the answer first!"
210,Return+to+the+mystery+series+-+3+in+1,Enid Blyton,4.31,"'Holmes,' I cried. 'Is it really you? Can it indeed be that you are alive? Is it possible that you succeeded in climbing out of that awful abyss?'Missing, presumed dead, for three years, Sherlock Holmes returns triumphantly to his dear companion Dr Watson. And not before time! London has never been in more need of his extraordinary services: a murderous individual with an air gun stalks the city.Among thirteen further brilliant tales of mystery, detection and deduction, Sherlock Holmes investigates the problem of the Norwood Builder, deciphers the message of the Dancing Men, and cracks the case of the Six Napoleons."
212,The+Famous+Five+-+3+in+2,Enid Blyton,4.16,"Υπάρχουν έργα της λογοτεχνίας που ο πανδαμάτορας χρόνος δεν μπορεί να τα φθείρει, να εκμηδενίσει την αξία και τη σημασία τους, που μέσα απ' την αέναη ροή της ζωής αναδύονται πάντοτε σφριγηλά και αιώνια. Αυτά είναι όσα μεταδίδουν στον άνθρωπο ένα μήνυμα διαχρονικής αξίας, μια ιστορία παραδειγματική, που να μπορεί να ισχύει ως πρότυπο ζωής και πράξης των ανθρώπων.Ένα τέτοιο έργο είναι ""Oι 'Αθλιοι"". Η ιστορία του Γιάννη Αγιάννη είναι η αγωνιώδης πορεία μιας ανθρώπινης συνείδησης από το βόρβορο και το χάος προς το Αγαθό. O Oυγκώ συσχετίζει μ' ένα ρωμαλέο και ανεπανάληπτο τρόπο την περιπέτεια μιας ανθρώπινης ψυχής με την περιπέτεια ενός ολόκληρου λαού και μιας ολόκληρης κοινωνίας σε μια ταραγμένη εποχή. Στις σελίδες του βιβλίου παρελαύνουν όλοι εκείνοι οι ήρωες που γοήτεψαν και γοητεύουν γενεές ολόκληρες αναγνωστών και που εκφράζουν, χωριστά ο καθένας, ένα χαρακτηριστικό ανθρώπινο τύπο, μια συστατική πλευρά της ανθρώπινης ύπαρξης."
213,The+Amber+Spyglass,Philip Pullman,4.08,"Will is the bearer of the knife. Now, accompanied by angels, his task is to deliver that powerful, dangerous weapon to Lord Asriel - by the command of his dying father.But how can he go looking for Lord Asriel when Lyra is gone? Only with her help can he fathom the myriad plots and and intrigues that beset him. The two great powers of the many worlds are lining up for war, and Will must find Lyra, for together they are on their way to battle, an inevitable journey that will even take them to the world of the dead..."
214,The+Adventures+Of+Sherlock+Holmes,Sir Arthur Conan Doyle,4.31,A Scandal in Bohemia The Adventure of the Red-Headed League A Case of Identity The Bascombe Valley Mystery The Five Orange Pips The Man with the Twisted Lip The Adventure of the Blue Carbuncle The Adventure of the Speckled Band The Adventure of the Engineer's Thumb The Adventure of the Nobel Bachelor The Adventure of the Beryl Coronet The Adventure of the Copper Beeches
215,"Dear+dumb+diary,+my+pants+are+haunted",Jim Benton,4.02,"Read the hilarious, candid (and sometimes not-so-nice), diaries of Jamie Kelly, who promises that everything in her diary is true -- or at least as true as it needs to be.They were just a soft, ordinary pair of thrift-shop jeans until Jamie Kelly tried them on . . . Then they became a tight, scratchy, slightly smelly, and utterly ordinary pair of thrift-shop jeans with an embarrassing haunting problem. Do the pants have the power to soothe a vengeful beagle, vanquish The Prettiest Girl in the World, or make the wearer irresistible to the eighth cutest guy in the grade? Are the haunted pants so dazzling they can hurt and maybe permanently damage the eyes of onlookers? Or are the haunted pants just, well, haunted (which is kind of gross when you think about it)?"
216,No+Boys+Allowed,Marilyn Levinson,3.61,"Cassie's dad moved away, her best friend Bobby is driving her nuts, and her great uncle Harry has invaded her house. It's time to boycott boys!When her dad moves away to marry another woman, Cassie Landauer decides that there will be no boys allowed in her house --- or her life. Not even her best friend, Bobby! But then her mom invites Great Uncle Harry to stay with them for a few months. That's the last straw.Great Uncle Harry takes over Cassie's bedroom, treats her like a little kid, and is always around the house. Cassie is sick and tired of it! But how can she boycott boys when one of them is living in her home? All boys can't be that bad . . . can they?"
217,Mary-Kate+and+Ashley-+Unicorn+Mystery,,3.48,"In Mary-Kate and Ashley's most unusual case yet, thier number once suspect is a unicorn But that's impossible. Unicorns don't exist. All the Trenchcoat Twins know is that someone -- or something -- has destroyed thier friend Lindsay's picture-perfect tulips for the upcoming flower show and all clues point to a live unicorn"
218,Steve+Jobs+:+The+man+whi+thought+different,Karen Blumenthal,3.95,"""Your time is limited. . . . have the courage to follow your heart and intuition.""--Steve JobsFrom the start, his path was never predictable. Steve Jobs was given up for adoption at birth, dropped out of college after one semester, and at the age of twenty, created Apple in his parents' garage with his friend Steve Wozniack. Then came the core and hallmark of his genius--his exacting moderation for perfection, his counterculture life approach, and his level of taste and style that pushed all boundaries. A devoted husband, father, and Buddhist, he battled cancer for over a decade, became the ultimate CEO, and made the world want every product he touched.Critically acclaimed author Karen Blumenthal takes us to the core of this complicated and legendary man while simultaneously exploring the evolution of computers. Framed by Jobs' inspirational Stanford commencement speech and illustrated throughout with black and white photos, this is the story of the man who changed our world."
219,The+Grand+Design,"Stephen Hawking and
Leonard Mlodinow",4.03,"THE FIRST MAJOR WORK IN NEARLY A DECADE BY ONE OF THE WORLD’S GREAT THINKERS—A MARVELOUSLY CONCISE BOOK WITH NEW ANSWERS TO THE ULTIMATE QUESTIONS OF LIFE When and how did the universe begin? Why are we here? Why is there something rather than nothing? What is the nature of reality? Why are the laws of nature so finely tuned as to allow for the existence of beings like ourselves? And, finally, is the apparent “grand design” of our universe evidence of a benevolent creator who set things in motion—or does science offer another explanation? The most fundamental questions about the origins of the universe and of life itself, once the province of philosophy, now occupy the territory where scientists, philosophers, and theologians meet—if only to disagree. In their new book, Stephen Hawking and Leonard Mlodinow present the most recent scientific thinking about the mysteries of the universe, in nontechnical language marked by both brilliance and simplicity. In The Grand Design they explain that according to quantum theory, the cosmos does not have just a single existence or history, but rather that every possible history of the universe exists simultaneously. When applied to the universe as a whole, this idea calls into question the very notion of cause and effect. But the “top-down” approach to cosmology that Hawking and Mlodinow describe would say that the fact that the past takes no definite form means that we create history by observing it, rather than that history creates us. The authors further explain that we ourselves are the product of quantum fluctuations in the very early universe, and show how quantum theory predicts the “multiverse”—the idea that ours is just one of many universes that appeared spontaneously out of nothing, each with different laws of nature.Along the way Hawking and Mlodinow question the conventional concept of reality, posing a “model-dependent” theory of reality as the best we can hope to find. And they conclude with a riveting assessment of M-theory, an explanation of the laws governing us and our universe that is currently the only viable candidate for a complete “theory of everything.” If confirmed, they write, it will be the unified theory that Einstein was looking for, and the ultimate triumph of human reason.A succinct, startling, and lavishly illustrated guide to discoveries that are altering our understanding and threatening some of our most cherished belief systems, The Grand Design is a book that will inform—and provoke—like no other."
221,Brida,Paulo Coelho,3.47,"O livro conta a história de Brida O' Fern, uma irlandesa de 21 anos em busca da magia e dos poderes ocultos. Durante sua busca, Brida conhece um mago, Mago de Folk, que promete ensiná-la através da Tradição do Sol, que explica tudo através da natureza e de suas manifestações divinas. Mas Brida toma, na verdade, como mestra, Wicca, uma bela mulher que lhe ensina através da Tradição da Lua, a antiga Tradição das Bruxas, que explica o Universo através da Sabedoria e do Tempo. Sua evolução espiritual e sua busca pela Outra Parte (a famosa alma gêmea) estão retratadas neste livro emocionante e tão interessante quanto os outros livros do autor - segue contudo, o estilo altamente ""místico"" como ""O Diário de um Mago"" e ""O Alquimista""."
222,I+have+a+dream,Rashmi Bhansal,3.69,"I have a Dream is the story of 20 idealists who think and act like entrepreneurs. They are committed to different causes, but they have one thing in common: a belief that principles of management can and must be used to achieve a greater common good. These stories say one thing loud and clear change starts with one person, and that person could be someone next door. Someone like you."
223,Beautiful+Creatures,Lulu Taylor,3.76,"Lena Duchannes is unlike anyone the small Southern town of Gatlin has ever seen, and she's struggling to conceal her power, and a curse that has haunted her family for generations. But even within the overgrown gardens, murky swamps and crumbling graveyards of the forgotten South, a secret cannot stay hidden forever.Ethan Wate, who has been counting the months until he can escape from Gatlin, is haunted by dreams of a beautiful girl he has never met. When Lena moves into the town's oldest and most infamous plantation, Ethan is inexplicably drawn to her and determined to uncover the connection between them.In a town with no surprises, one secret could change everything."
224,Visual+Dictionary,,4.24,"This book defines over 5,000 terms relating to architectural design, history, and technology. It is the only dictionary that provides concise, accurate definitions illustrated with finely detailed, hand-rendered drawings, each executed in Mr. Ching's signature style."
225,the+abduction,John Grisham,3.48,A mysterious transmission from the bottom of the Atlantic Ocean leads a crew of divers and oceanographers to investigate a phenomenon beyond scientific understanding....And to the discovery that will permanently change everything we have previously come to know about life on this Earth.
226,Half+the+Man+twice+the+Lawyer,John Grisham,3.78,"In the small city of Strattenburg, there are many lawyers, and though he's only thirteen years old, Theo Boone thinks he's one of them.He dreams of a life in the courtroom, but finds himself there sooner than expected when he is dragged into the middle of a sensational murder trial. A cold-blooded killer is about to go free, and only Theo knows the truth.The stakes are high, but Theo won't stop until justice is served."
227,adventure+stories,book palace,3.9,"An adventure story for children, The Adventures of Tom Sawyer is a fun-filled book that shows life along the Mississippi River in the 1840s. Written by Mark Twain, the book shows masterfully-done satire, racism, childhood, and the importance of loyalty and courage- no matter the cost."
229,reap+what+you+sow,diwakar chitra katha,4.64,"Isolated her whole life, talking only to the animals only she can communicate with, Melanie’s life changes dramatically when she meets Tim. Little does she know that Tim has secrets of his own. He understands her pain, because as a Reaper, he often delivers pain to others. But Melanie is different, and she makes him long for things that a Reaper shouldn’t… like love."
230,the+gita,amar chitra katha,4.12,"The Bhagavad Gita is an intensely spiritual work that forms the cornerstone of the Hindu faith, and is also one of the masterpieces of Sanskrit poetry. It describes how, at the beginning of a mighty battle between the Pandava and Kaurava armies, the god Krishna gives spiritual enlightenment to the warrior Arjuna, who realizes that the true battle is for his own soul.Juan Mascaró's translation of The Bhagavad Gita captures the extraordinary aural qualities of the original Sanskrit. This edition features a new introduction by Simon Brodbeck, which discusses concepts such as dehin, prakriti and karma."
